Generation,Bot A,Bot B,Score A,Score B,Winner
6,JustinBot,JustinBot,835,885,JustinBot
6,JustinBot,JustinBot,868,853,JustinBot
6,JustinBot,GenerousTitForTat,832,837,GenerousTitForTat
6,JustinBot,GenerousTitForTat,876,861,JustinBot
6,JustinBot,GenerousTitForTat,834,869,GenerousTitForTat
6,JustinBot,GenerousTitForTat,822,852,GenerousTitForTat
6,JustinBot,GenerousTitForTat,836,881,GenerousTitForTat
6,JustinBot,GenerousTitForTat,871,871,Draw
6,JustinBot,GenerousTitForTat,865,875,GenerousTitForTat
6,JustinBot,JustinBot,889,844,JustinBot
6,JustinBot,GenerousTitForTat,829,879,GenerousTitForTat
6,JustinBot,GenerousTitForTat,857,872,GenerousTitForTat
6,JustinBot,GenerousTitForTat,841,866,GenerousTitForTat
6,JustinBot,GenerousTitForTat,855,855,Draw
6,JustinBot,GenerousTitForTat,863,868,GenerousTitForTat
6,JustinBot,GenerousTitForTat,845,875,GenerousTitForTat
6,JustinBot,GenerousTitForTat,875,875,Draw
6,JustinBot,GenerousTitForTat,840,855,GenerousTitForTat
6,JustinBot,GenerousTitForTat,871,881,GenerousTitForTat
6,JustinBot,GenerousTitForTat,827,842,GenerousTitForTat
6,JustinBot,GenerousTitForTat,817,842,GenerousTitForTat
6,JustinBot,GenerousTitForTat,854,879,GenerousTitForTat
6,JustinBot,GenerousTitForTat,850,880,GenerousTitForTat
6,JustinBot,GenerousTitForTat,513,413,JustinBot
6,GenerousTitForTat,GenerousTitForTat,815,825,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,807,787,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,816,816,Draw
6,GenerousTitForTat,GenerousTitForTat,811,831,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,822,832,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,808,823,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,862,857,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,804,804,Draw
6,GenerousTitForTat,GenerousTitForTat,799,814,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,851,846,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,866,861,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,841,856,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,833,823,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,821,851,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,834,849,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,814,809,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,798,803,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,831,841,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,843,838,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,801,811,GenerousTitForTat
6,GenerousTitForTat,GenerousTitForTat,872,877,GenerousTitForTat
7,JustinBot,JustinBot,869,859,JustinBot
7,JustinBot,JustinBot,859,884,JustinBot
7,JustinBot,JustinBot,829,879,JustinBot
7,JustinBot,JustinBot,844,884,JustinBot
7,JustinBot,JustinBot,866,821,JustinBot
7,JustinBot,JustinBot,849,904,JustinBot
7,JustinBot,JustinBot,874,859,JustinBot
7,JustinBot,JustinBot,854,884,JustinBot
7,JustinBot,JustinBot,844,884,JustinBot
7,JustinBot,JustinBot,862,862,Draw
7,JustinBot,JustinBot,870,875,JustinBot
7,JustinBot,JustinBot,871,851,JustinBot
7,JustinBot,JustinBot,863,888,JustinBot
7,JustinBot,JustinBot,884,844,JustinBot
7,JustinBot,JustinBot,864,874,JustinBot
7,JustinBot,JustinBot,877,862,JustinBot
7,JustinBot,JustinBot,862,867,JustinBot
7,JustinBot,JustinBot,839,899,JustinBot
7,JustinBot,JustinBot,859,894,JustinBot
7,JustinBot,JustinBot,848,863,JustinBot
7,JustinBot,JustinBot,852,857,JustinBot
7,JustinBot,JustinBot,856,881,JustinBot
7,JustinBot,JustinBot,845,885,JustinBot
7,JustinBot,JustinBot,858,848,JustinBot
7,JustinBot,JustinBot,848,868,JustinBot
7,JustinBot,JustinBot,852,887,JustinBot
7,JustinBot,JustinBot,871,861,JustinBot
7,JustinBot,JustinBot,873,878,JustinBot
7,JustinBot,JustinBot,868,858,JustinBot
7,JustinBot,JustinBot,878,863,JustinBot
7,JustinBot,JustinBot,864,869,JustinBot
7,JustinBot,JustinBot,876,851,JustinBot
7,JustinBot,JustinBot,871,841,JustinBot
7,JustinBot,JustinBot,860,870,JustinBot
7,JustinBot,JustinBot,872,857,JustinBot
7,JustinBot,JustinBot,888,868,JustinBot
7,JustinBot,JustinBot,850,855,JustinBot
7,JustinBot,JustinBot,839,894,JustinBot
7,JustinBot,JustinBot,856,886,JustinBot
7,JustinBot,JustinBot,880,865,JustinBot
7,JustinBot,JustinBot,863,873,JustinBot
7,JustinBot,JustinBot,860,870,JustinBot
7,JustinBot,JustinBot,851,861,JustinBot
7,JustinBot,JustinBot,854,879,JustinBot
7,JustinBot,JustinBot,868,848,JustinBot
7,JustinBot,JustinBot,836,881,JustinBot
7,JustinBot,JustinBot,879,864,JustinBot
7,JustinBot,JustinBot,835,860,JustinBot
7,JustinBot,JustinBot,894,854,JustinBot
7,JustinBot,JustinBot,851,896,JustinBot
7,JustinBot,JustinBot,881,861,JustinBot
7,JustinBot,JustinBot,858,878,JustinBot
7,JustinBot,JustinBot,872,857,JustinBot
7,JustinBot,JustinBot,860,860,Draw
7,JustinBot,JustinBot,855,835,JustinBot
7,JustinBot,JustinBot,835,895,JustinBot
7,JustinBot,JustinBot,860,880,JustinBot
7,JustinBot,JustinBot,863,873,JustinBot
7,JustinBot,JustinBot,867,832,JustinBot
7,JustinBot,JustinBot,866,861,JustinBot
7,JustinBot,JustinBot,868,853,JustinBot
7,JustinBot,JustinBot,862,847,JustinBot
7,JustinBot,JustinBot,881,856,JustinBot
7,JustinBot,JustinBot,856,861,JustinBot
7,JustinBot,JustinBot,834,879,JustinBot
7,JustinBot,JustinBot,845,830,JustinBot
7,JustinBot,JustinBot,881,871,JustinBot
7,JustinBot,JustinBot,865,855,JustinBot
7,JustinBot,JustinBot,860,870,JustinBot
7,JustinBot,JustinBot,830,905,JustinBot
7,JustinBot,JustinBot,878,843,JustinBot
7,JustinBot,JustinBot,888,858,JustinBot
7,JustinBot,JustinBot,881,846,JustinBot
7,JustinBot,JustinBot,877,867,JustinBot
7,JustinBot,JustinBot,882,842,JustinBot
7,JustinBot,JustinBot,880,850,JustinBot
7,JustinBot,JustinBot,848,808,JustinBot
7,JustinBot,JustinBot,845,880,JustinBot
7,JustinBot,JustinBot,867,862,JustinBot
7,JustinBot,JustinBot,857,857,Draw
7,JustinBot,JustinBot,849,869,JustinBot
7,JustinBot,JustinBot,841,886,JustinBot
7,JustinBot,JustinBot,852,892,JustinBot
7,JustinBot,JustinBot,882,827,JustinBot
7,JustinBot,JustinBot,871,846,JustinBot
7,JustinBot,JustinBot,870,855,JustinBot
7,JustinBot,JustinBot,860,865,JustinBot
7,JustinBot,JustinBot,849,869,JustinBot
7,JustinBot,JustinBot,868,838,JustinBot
7,JustinBot,JustinBot,850,890,JustinBot
7,JustinBot,JustinBot,850,885,JustinBot
